race_id,escape_strength,inner_collapse_risk,attack_pressure,race_upset_score,probability_flatness,dynamic_rerank_subset,scenario,result_scenario,winner_course,winner_style,lane1_status,top3_shape,is_outer_chain,is_inner_dominant
2026-07-11_14_01,0.2627100173773228,0.5302565910528756,0.38753731420537907,0.464357338584667,0.8956723639563436,attack_or_collapse,S0_C1_ESCAPE_IN_WIN,C1__ESCAPE__IN_WIN__OUTER_CHAIN,1,ESCAPE,IN_WIN,OUTER_CHAIN,True,False
2026-07-11_14_02,0.26890585611484835,0.5285465962760807,0.38975441885959117,0.4811403384145614,0.9513505385528398,attack_or_collapse,S0_C1_ESCAPE_IN_WIN,C1__ESCAPE__IN_WIN__INNER_CENTER,1,ESCAPE,IN_WIN,INNER_CENTER,False,False
2026-07-11_14_03,0.2767914146093498,0.5126391712636038,0.32929845361577015,0.45694313764793804,0.920563297387421,neutral,S0_C1_ESCAPE_IN_WIN,C1__ESCAPE__IN_WIN__CENTER_OUTER,1,ESCAPE,IN_WIN,CENTER_OUTER,False,False
2026-07-11_14_04,0.3122915791252331,0.5040755585176222,0.3786959373930189,0.4500105288469551,0.8906634754467556,attack_or_collapse,S0_C1_ESCAPE_IN_WIN,C1__ESCAPE__IN_WIN__OUTER_CHAIN,1,ESCAPE,IN_WIN,OUTER_CHAIN,True,False
2026-07-11_14_05,0.2555608280776207,0.5279337730472022,0.3746399648213973,0.4677085562596938,0.9388400891196985,neutral,S0_C1_ESCAPE_IN_WIN,C1__ESCAPE__IN_WIN__OUTER_CHAIN,1,ESCAPE,IN_WIN,OUTER_CHAIN,True,False
2026-07-11_14_06,0.18033099052384932,0.5636069193786326,0.3761364346322527,0.4910326679455906,0.9503186574641149,attack_or_collapse,S3_C3_WIN_CENTER,C3__MAKURI__IN_OUT__OUTER_CHAIN,3,MAKURI,IN_OUT,OUTER_CHAIN,True,False
2026-07-11_14_07,0.2033157553104655,0.5522471118500434,0.3647294730030266,0.4789998512509879,0.9547285672415853,attack_or_collapse,S0_C1_ESCAPE_IN_WIN,C1__ESCAPE__IN_WIN__MIXED,1,ESCAPE,IN_WIN,MIXED,False,False
2026-07-11_14_08,0.249046333297513,0.5445393898471564,0.39514728032449853,0.4763008894643256,0.9466750937403956,attack_or_collapse,S3_C3_WIN_CENTER,C3__MAKURI_SASHI__IN_OUT__CENTER_OUTER,3,MAKURI_SASHI,IN_OUT,CENTER_OUTER,False,False
2026-07-11_14_09,0.28492782816042045,0.4977637058284183,0.32399347959654734,0.44501207866951004,0.9383580519990109,neutral,S0_C1_ESCAPE_IN_WIN,C1__ESCAPE__IN_WIN__OUTER_CHAIN,1,ESCAPE,IN_WIN,OUTER_CHAIN,True,False
2026-07-11_14_10,0.21497652765432923,0.5525080794979333,0.3741363339181798,0.4800460912126219,0.9449381214468113,attack_or_collapse,S0_C1_ESCAPE_IN_WIN,C1__ESCAPE__IN_WIN__CENTER_OUTER,1,ESCAPE,IN_WIN,CENTER_OUTER,False,False
2026-07-11_14_11,0.25695280189804226,0.5365872345377615,0.3959206003295632,0.47267519926565005,0.9226305256795617,attack_or_collapse,S0_C1_ESCAPE_IN_WIN,C1__ESCAPE__IN_WIN__INNER_TOP3,1,ESCAPE,IN_WIN,INNER_TOP3,False,True
2026-07-11_14_12,0.29292542841578484,0.5102437108693887,0.3599966478535923,0.43887338290635025,0.9121428221138095,stable_escape,S3_C3_WIN_CENTER,C3__MAKURI__IN_OUT__OUTER_CHAIN,3,MAKURI,IN_OUT,OUTER_CHAIN,True,False
2026-07-11_15_01,0.3178589031168566,0.49471102254902477,0.36351681937666885,0.4545352749819364,0.9467654093900064,upset_or_flat,S0_C1_ESCAPE_IN_WIN,C1__ESCAPE__IN_WIN__INNER_CENTER,1,ESCAPE,IN_WIN,INNER_CENTER,False,False
2026-07-11_15_02,0.331983462026097,0.4762868897765232,0.31774852758895056,0.4277343676075851,0.9218116279990365,stable_escape,S3_C3_WIN_CENTER,C3__MAKURI_SASHI__IN_REMAIN__CENTER_OUTER,3,MAKURI_SASHI,IN_REMAIN,CENTER_OUTER,False,False
2026-07-11_15_03,0.2882157443539219,0.5035646304314437,0.3368990208361623,0.44777707943970907,0.950337754505439,upset_or_flat,S0_C1_ESCAPE_IN_WIN,C1__ESCAPE__IN_WIN__CENTER_OUTER,1,ESCAPE,IN_WIN,CENTER_OUTER,False,False
