race_date,venue_code,race_no,race_id,trifecta,probability,actual_trifecta,trifecta_payout,hit,stake_amount,return_amount
2026-06-28,13,4,2026-06-28_13_04,6-2-1,0.44165235066786596,1-2-6,1620.0,False,100.0,0.0
2026-06-28,13,5,2026-06-28_13_05,5-3-6,0.5595365616665356,5-3-6,75790.0,True,100.0,75790.0
2026-06-28,13,6,2026-06-28_13_06,2-1-4,0.43850271961653225,1-4-3,780.0,False,100.0,0.0
2026-06-28,13,7,2026-06-28_13_07,3-1-6,0.4481104905600689,3-1-5,1180.0,False,100.0,0.0
2026-06-28,13,8,2026-06-28_13_08,2-1-3,0.43850271961653225,2-1-5,980.0,False,100.0,0.0
2026-06-28,13,9,2026-06-28_13_09,3-1-2,0.44165235066786596,1-3-5,550.0,False,100.0,0.0
2026-06-28,13,10,2026-06-28_13_10,3-4-2,0.5595365616665356,3-4-2,28950.0,True,100.0,28950.0
2026-06-28,13,11,2026-06-28_13_11,1-2-4,0.4158533777842374,1-2-4,1580.0,True,100.0,1580.0
2026-06-28,13,12,2026-06-28_13_12,1-5-3,0.42221954211833135,1-5-3,2130.0,True,100.0,2130.0
2026-06-28,14,1,2026-06-28_14_01,1-3-6,0.44165235066786596,1-3-2,1470.0,False,100.0,0.0
2026-06-28,14,2,2026-06-28_14_02,3-4-1,0.5334302799744544,3-4-1,15070.0,True,100.0,15070.0
2026-06-28,14,3,2026-06-28_14_03,3-1-2,0.43850271961653225,1-3-4,1250.0,False,100.0,0.0
2026-06-28,14,4,2026-06-28_14_04,1-6-3,0.5595365616665355,1-2-5,1530.0,False,100.0,0.0
2026-06-28,14,5,2026-06-28_14_05,1-3-5,0.43850271961653225,1-3-6,1240.0,False,100.0,0.0
2026-06-28,14,6,2026-06-28_14_06,1-5-4,0.42221954211833135,1-5-4,4110.0,True,100.0,4110.0
2026-06-28,14,7,2026-06-28_14_07,4-1-5,0.44165235066786596,4-1-3,9180.0,False,100.0,0.0
2026-06-28,14,8,2026-06-28_14_08,1-4-3,0.43850271961653225,1-5-2,1720.0,False,100.0,0.0
2026-06-28,14,9,2026-06-28_14_09,3-5-1,0.44165235066786596,3-5-1,15820.0,True,100.0,15820.0
2026-06-28,14,10,2026-06-28_14_10,1-2-4,0.41275172295928464,1-2-4,1570.0,True,100.0,1570.0
2026-06-28,14,11,2026-06-28_14_11,2-5-1,0.44165235066786596,1-2-3,1050.0,False,100.0,0.0
2026-06-28,14,12,2026-06-28_14_12,2-1-4,0.43850271961653225,1-3-2,1790.0,False,100.0,0.0
2026-06-28,17,1,2026-06-28_17_01,2-3-1,0.43850271961653225,5-2-1,4950.0,False,100.0,0.0
2026-06-28,17,2,2026-06-28_17_02,1-2-3,0.41275172295928464,1-2-3,520.0,True,100.0,520.0
2026-06-28,17,3,2026-06-28_17_03,3-1-4,0.5595365616665355,3-1-4,2810.0,True,100.0,2810.0
2026-06-28,17,4,2026-06-28_17_04,4-2-5,0.41275172295928464,4-2-5,10020.0,True,100.0,10020.0
2026-06-28,17,5,2026-06-28_17_05,4-6-1,0.4385027196165322,1-3-4,530.0,False,100.0,0.0
2026-06-28,17,6,2026-06-28_17_06,1-2-5,0.4481104905600689,1-2-4,660.0,False,100.0,0.0
2026-06-28,17,7,2026-06-28_17_07,1-4-6,0.5595365616665355,1-4-2,520.0,False,100.0,0.0
2026-06-28,17,8,2026-06-28_17_08,4-3-1,0.44165235066786596,4-3-1,14740.0,True,100.0,14740.0
2026-06-28,17,9,2026-06-28_17_09,1-3-4,0.4158533777842374,1-3-4,1790.0,True,100.0,1790.0
2026-06-28,17,10,2026-06-28_17_10,1-3-5,0.43850271961653225,1-3-5,1300.0,True,100.0,1300.0
2026-06-28,17,11,2026-06-28_17_11,2-1-3,0.43850271961653225,1-2-5,1580.0,False,100.0,0.0
2026-06-28,17,12,2026-06-28_17_12,1-4-3,0.5595365616665355,1-5-4,890.0,False,100.0,0.0
2026-06-28,18,1,2026-06-28_18_01,1-3-4,0.44165235066786596,1-2-4,600.0,False,100.0,0.0
2026-06-28,18,2,2026-06-28_18_02,1-4-5,0.4481104905600689,1-4-5,1810.0,True,100.0,1810.0
2026-06-28,18,3,2026-06-28_18_03,1-2-3,0.5334302799744544,1-2-3,3010.0,True,100.0,3010.0
2026-06-28,18,4,2026-06-28_18_04,2-1-3,0.44165235066786596,1-5-2,1190.0,False,100.0,0.0
2026-06-28,18,5,2026-06-28_18_05,3-2-4,0.43850271961653225,3-2-4,3390.0,True,100.0,3390.0
2026-06-28,18,6,2026-06-28_18_06,1-2-5,0.41275172295928464,1-2-5,1230.0,True,100.0,1230.0
2026-06-28,18,7,2026-06-28_18_07,1-4-3,0.5334302799744544,1-4-3,5260.0,True,100.0,5260.0
2026-06-28,18,8,2026-06-28_18_08,1-3-5,0.41275172295928464,1-3-5,1350.0,True,100.0,1350.0
2026-06-28,18,9,2026-06-28_18_09,1-3-6,0.44165235066786596,1-3-4,600.0,False,100.0,0.0
2026-06-28,18,10,2026-06-28_18_10,4-3-1,0.5334302799744544,4-3-1,35260.0,True,100.0,35260.0
2026-06-28,18,11,2026-06-28_18_11,1-6-5,0.5334302799744544,1-6-5,5840.0,True,100.0,5840.0
2026-06-28,18,12,2026-06-28_18_12,2-1-4,0.4385027196165322,1-2-3,370.0,False,100.0,0.0
2026-06-28,20,1,2026-06-28_20_01,1-2-6,0.5595365616665355,1-2-6,7980.0,True,100.0,7980.0
2026-06-28,20,2,2026-06-28_20_02,2-5-3,0.5334302799744544,2-5-3,4750.0,True,100.0,4750.0
